p1_encoder, p1_pressed, p1_pressed_nmz, ,p2_encoder, p2_pressed, p2_pressed_nmz, ,p1_degree, p1_pressed, p1_pressed_nmz, ,p2_degree, p2_pressed, p2_pressed_nmz
4187270,21275,0.998123387, ,4201347,21180,0.993899578, ,88.820009,21275,0.998123387, ,91.471553,21180,0.993899578
4187278,21275,0.998123387, ,4201339,21180,0.993899578, ,88.821515,21275,0.998123387, ,91.470048,21180,0.993899578
4187285,21270,0.997888811, ,4201331,21185,0.994134209, ,88.823021,21270,0.997888811, ,91.468542,21185,0.994134209
4187294,21270,0.997888811, ,4201322,21185,0.994134209, ,88.824527,21270,0.997888811, ,91.467036,21185,0.994134209
4187301,21270,0.997888811, ,4201314,21185,0.994134209, ,88.826032,21270,0.997888811, ,91.46553,21185,0.994134209
4187309,21270,0.997888811, ,4201306,21185,0.994134209, ,88.827538,21270,0.997888811, ,91.464024,21185,0.994134209
4187317,21270,0.997888811, ,4201298,21185,0.994134209, ,88.829044,21270,0.997888811, ,91.46233,21185,0.994134209
4187325,21270,0.997888811, ,4201290,21185,0.994134209, ,88.83055,21270,0.997888811, ,91.460825,21185,0.994134209
4187333,21270,0.997888811, ,4201282,21185,0.994134209, ,88.832056,21270,0.997888811, ,91.459319,21185,0.994134209
4187341,21270,0.997888811, ,4201274,21185,0.994134209, ,88.833561,21270,0.997888811, ,91.457813,21185,0.994134209
4187348,21270,0.997888811, ,4201266,21185,0.994134209, ,88.834879,21270,0.997888811, ,91.456307,21185,0.994134209
4187356,21270,0.997888811, ,4201258,21185,0.994134209, ,88.836385,21270,0.997888811, ,91.45499,21185,0.994134209
4187364,21270,0.997888811, ,4201250,21185,0.994134209, ,88.837891,21270,0.997888811, ,91.453296,21185,0.994134209
4187371,21270,0.997888811, ,4201242,21185,0.994134209, ,88.839208,21270,0.997888811, ,91.451978,21185,0.994134209
4187379,21270,0.997888811, ,4201234,21185,0.994134209, ,88.840714,21270,0.997888811, ,91.450472,21185,0.994134209
4187386,21270,0.997888811, ,4201226,21185,0.994134209, ,88.84222,21270,0.997888811, ,91.448966,21185,0.994134209
4187394,21270,0.997888811, ,4201218,21185,0.994134209, ,88.843537,21270,0.997888811, ,91.44746,21185,0.994134209
4187402,21270,0.997888811, ,4201210,21185,0.994134209, ,88.845043,21270,0.997888811, ,91.445955,21185,0.994134209
4187409,21270,0.997888811, ,4201202,21190,0.994368841, ,88.846361,21270,0.997888811, ,91.444449,21190,0.994368841
4187417,21270,0.997888811, ,4201194,21190,0.994368841, ,88.847867,21270,0.997888811, ,91.442943,21190,0.994368841
4187425,21270,0.997888811, ,4201187,21190,0.994368841, ,88.849372,21270,0.997888811, ,91.441437,21190,0.994368841
4187432,21270,0.997888811, ,4201178,21190,0.994368841, ,88.85069,21270,0.997888811, ,91.439931,21190,0.994368841
4187440,21270,0.997888811, ,4201171,21190,0.994368841, ,88.852196,21270,0.997888811, ,91.438426,21190,0.994368841
4187448,21270,0.997888811, ,4201163,21190,0.994368841, ,88.853702,21270,0.997888811, ,91.43692,21190,0.994368841
4187456,21270,0.997888811, ,4201155,21185,0.994134209, ,88.855207,21270,0.997888811, ,91.435414,21185,0.994134209
4187464,21270,0.997888811, ,4201147,21185,0.994134209, ,88.856713,21270,0.997888811, ,91.433908,21185,0.994134209
4187473,21270,0.997888811, ,4201139,21185,0.994134209, ,88.858219,21270,0.997888811, ,91.432402,21185,0.994134209
4187480,21270,0.997888811, ,4201131,21185,0.994134209, ,88.859725,21270,0.997888811, ,91.431085,21185,0.994134209
4187488,21270,0.997888811, ,4201123,21185,0.994134209, ,88.861231,21270,0.997888811, ,91.429391,21185,0.994134209
4187496,21270,0.997888811, ,4201115,21185,0.994134209, ,88.862736,21270,0.997888811, ,91.428073,21185,0.994134209
4187504,21270,0.997888811, ,4201107,21185,0.994134209, ,88.864242,21270,0.997888811, ,91.426567,21185,0.994134209
4187512,21270,0.997888811, ,4201099,21185,0.994134209, ,88.865748,21270,0.997888811, ,91.425062,21185,0.994134209
4187520,21270,0.997888811, ,4201091,21185,0.994134209, ,88.867254,21270,0.997888811, ,91.423556,21185,0.994134209
4187528,21270,0.997888811, ,4201083,21185,0.994134209, ,88.86876,21270,0.997888811, ,91.42205,21185,0.994134209
